sample_0 malignant
sample_1 malignant
sample_2 benign
sample_3 benign
sample_4 benign
sample_5 benign
sample_6 benign
sample_7 benign
sample_8 malignant
sample_9 malignant
sample_10 malignant
sample_11 benign
sample_12 benign
sample_13 benign
sample_14 malignant
sample_15 benign
sample_16 benign
sample_17 benign
sample_18 benign
sample_19 benign
sample_20 benign
sample_21 malignant
sample_22 benign
sample_23 benign
sample_24 malignant
sample_25 benign
sample_26 benign
sample_27 malignant
sample_28 benign
sample_29 malignant
